UUID        = b91c1098-8005-497e-b92d-959b5230cccf
ScanDate    = 20240729_194927
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 48
NumVolumes  = 356
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         28550749         28550772     0
     0      12         28550749         28550772     0
     0      24         28550749         28550772     0
     0      36         28550749         28550772     0
     0       5         28550782         28550805     0
     0      17         28550782         28550805     0
     0      29         28550782         28550805     0
     0      41         28550782         28550805     0
     0      10         28550814         28550838     0
     0      22         28550814         28550838     0
     0      34         28550814         28550838     0
     0      46         28550814         28550838     0
     0       3         28550847         28550870     0
     0      15         28550847         28550870     0
     0      27         28550847         28550870     0
     0      39         28550847         28550870     0
     0       8         28550879         28550903     0
     0      20         28550879         28550903     0
     0      32         28550879         28550903     0
     0      44         28550879         28550903     0
     0       1         28550912         28550936     0
     0      13         28550912         28550936     0
     0      25         28550912         28550936     0
     0      37         28550912         28550936     0
     0       6         28550945         28550968     0
     0      18         28550945         28550968     0
     0      30         28550945         28550968     0
     0      42         28550945         28550968     0
     0      11         28550977         28551001     0
     0      23         28550977         28551001     0
     0      35         28550977         28551001     0
     0      47         28550977         28551001     0
     0       4         28551010         28551034     0
     0      16         28551010         28551034     0
     0      28         28551010         28551034     0
     0      40         28551010         28551034     0
     0       9         28551043         28551066     0
     0      21         28551043         28551066     0
     0      33         28551043         28551066     0
     0      45         28551043         28551066     0
     0       2         28551075         28551099     0
     0      14         28551075         28551099     0
     0      26         28551075         28551099     0
     0      38         28551075         28551099     0
     0       7         28551108         28551132     0
     0      19         28551108         28551132     0
     0      31         28551108         28551132     0
     0      43         28551108         28551132     0
     1       0         28551149         28551172     0
     1      12         28551149         28551172     0
     1      24         28551149         28551172     0
     1      36         28551149         28551172     0
     1       5         28551182         28551205     0
     1      17         28551182         28551205     0
     1      29         28551182         28551205     0
     1      41         28551182         28551205     0
     1      10         28551214         28551238     0
     1      22         28551214         28551238     0
     1      34         28551214         28551238     0
     1      46         28551214         28551238     0
     1       3         28551247         28551270     0
     1      15         28551247         28551270     0
     1      27         28551247         28551270     0
     1      39         28551247         28551270     0
     1       8         28551279         28551303     0
     1      20         28551279         28551303     0
     1      32         28551279         28551303     0
     1      44         28551279         28551303     0
     1       1         28551312         28551336     0
     1      13         28551312         28551336     0
     1      25         28551312         28551336     0
     1      37         28551312         28551336     0
     1       6         28551345         28551368     0
     1      18         28551345         28551368     0
     1      30         28551345         28551368     0
     1      42         28551345         28551368     0
     1      11         28551377         28551401     0
     1      23         28551377         28551401     0
     1      35         28551377         28551401     0
     1      47         28551377         28551401     0
     1       4         28551410         28551434     0
     1      16         28551410         28551434     0
     1      28         28551410         28551434     0
     1      40         28551410         28551434     0
     1       9         28551443         28551466     0
     1      21         28551443         28551466     0
     1      33         28551443         28551466     0
     1      45         28551443         28551466     0
     1       2         28551475         28551499     0
     1      14         28551475         28551499     0
     1      26         28551475         28551499     0
     1      38         28551475         28551499     0
     1       7         28551508         28551532     0
     1      19         28551508         28551532     0
     1      31         28551508         28551532     0
     1      43         28551508         28551532     0
     2       0         28551549         28551572     0
     2      12         28551549         28551572     0
     2      24         28551549         28551572     0
     2      36         28551549         28551572     0
     2       5         28551582         28551605     0
     2      17         28551582         28551605     0
     2      29         28551582         28551605     0
     2      41         28551582         28551605     0
     2      10         28551614         28551638     0
     2      22         28551614         28551638     0
     2      34         28551614         28551638     0
     2      46         28551614         28551638     0
     2       3         28551647         28551670     0
     2      15         28551647         28551670     0
     2      27         28551647         28551670     0
     2      39         28551647         28551670     0
     2       8         28551679         28551703     0
     2      20         28551679         28551703     0
     2      32         28551679         28551703     0
     2      44         28551679         28551703     0
     2       1         28551712         28551736     0
     2      13         28551712         28551736     0
     2      25         28551712         28551736     0
     2      37         28551712         28551736     0
     2       6         28551745         28551768     0
     2      18         28551745         28551768     0
     2      30         28551745         28551768     0
     2      42         28551745         28551768     0
     2      11         28551777         28551801     0
     2      23         28551777         28551801     0
     2      35         28551777         28551801     0
     2      47         28551777         28551801     0
     2       4         28551810         28551834     0
     2      16         28551810         28551834     0
     2      28         28551810         28551834     0
     2      40         28551810         28551834     0
     2       9         28551843         28551866     0
     2      21         28551843         28551866     0
     2      33         28551843         28551866     0
     2      45         28551843         28551866     0
     2       2         28551875         28551899     0
     2      14         28551875         28551899     0
     2      26         28551875         28551899     0
     2      38         28551875         28551899     0
     2       7         28551908         28551932     0
     2      19         28551908         28551932     0
     2      31         28551908         28551932     0
     2      43         28551908         28551932     0
     3       0         28551949         28551972     0
     3      12         28551949         28551972     0
     3      24         28551949         28551972     0
     3      36         28551949         28551972     0
     3       5         28551982         28552005     0
     3      17         28551982         28552005     0
     3      29         28551982         28552005     0
     3      41         28551982         28552005     0
     3      10         28552014         28552038     0
     3      22         28552014         28552038     0
     3      34         28552014         28552038     0
     3      46         28552014         28552038     0
     3       3         28552047         28552070     0
     3      15         28552047         28552070     0
     3      27         28552047         28552070     0
     3      39         28552047         28552070     0
     3       8         28552079         28552103     0
     3      20         28552079         28552103     0
     3      32         28552079         28552103     0
     3      44         28552079         28552103     0
     3       1         28552112         28552136     0
     3      13         28552112         28552136     0
     3      25         28552112         28552136     0
     3      37         28552112         28552136     0
     3       6         28552145         28552168     0
     3      18         28552145         28552168     0
     3      30         28552145         28552168     0
     3      42         28552145         28552168     0
     3      11         28552177         28552201     0
     3      23         28552177         28552201     0
     3      35         28552177         28552201     0
     3      47         28552177         28552201     0
     3       4         28552210         28552234     0
     3      16         28552210         28552234     0
     3      28         28552210         28552234     0
     3      40         28552210         28552234     0
     3       9         28552243         28552266     0
     3      21         28552243         28552266     0
     3      33         28552243         28552266     0
     3      45         28552243         28552266     0
     3       2         28552275         28552299     0
     3      14         28552275         28552299     0
     3      26         28552275         28552299     0
     3      38         28552275         28552299     0
     3       7         28552308         28552332     0
     3      19         28552308         28552332     0
     3      31         28552308         28552332     0
     3      43         28552308         28552332     0
     4       0         28552349         28552372     0
     4      12         28552349         28552372     0
     4      24         28552349         28552372     0
     4      36         28552349         28552372     0
     4       5         28552382         28552405     0
     4      17         28552382         28552405     0
     4      29         28552382         28552405     0
     4      41         28552382         28552405     0
     4      10         28552414         28552438     0
