UUID        = 23f86d3e-2c0d-4378-8853-b59fbf5c925a
ScanDate    = 20240521_193950
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 44
NumVolumes  = 264
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         28319848         28319871     0
     0      11         28319848         28319871     0
     0      22         28319848         28319871     0
     0      33         28319848         28319871     0
     0       2         28319884         28319906     0
     0      13         28319884         28319906     0
     0      24         28319884         28319906     0
     0      35         28319884         28319906     0
     0       4         28319920         28319942     0
     0      15         28319920         28319942     0
     0      26         28319920         28319942     0
     0      37         28319920         28319942     0
     0       6         28319955         28319977     0
     0      17         28319955         28319977     0
     0      28         28319955         28319977     0
     0      39         28319955         28319977     0
     0       8         28319991         28320013     0
     0      19         28319991         28320013     0
     0      30         28319991         28320013     0
     0      41         28319991         28320013     0
     0      10         28320027         28320049     0
     0      21         28320027         28320049     0
     0      32         28320027         28320049     0
     0      43         28320027         28320049     0
     0       1         28320062         28320084     0
     0      12         28320062         28320084     0
     0      23         28320062         28320084     0
     0      34         28320062         28320084     0
     0       3         28320098         28320120     0
     0      14         28320098         28320120     0
     0      25         28320098         28320120     0
     0      36         28320098         28320120     0
     0       5         28320133         28320156     0
     0      16         28320133         28320156     0
     0      27         28320133         28320156     0
     0      38         28320133         28320156     0
     0       7         28320169         28320191     0
     0      18         28320169         28320191     0
     0      29         28320169         28320191     0
     0      40         28320169         28320191     0
     0       9         28320205         28320227     0
     0      20         28320205         28320227     0
     0      31         28320205         28320227     0
     0      42         28320205         28320227     0
     1       0         28320248         28320271     0
     1      11         28320248         28320271     0
     1      22         28320248         28320271     0
     1      33         28320248         28320271     0
     1       2         28320284         28320306     0
     1      13         28320284         28320306     0
     1      24         28320284         28320306     0
     1      35         28320284         28320306     0
     1       4         28320320         28320342     0
     1      15         28320320         28320342     0
     1      26         28320320         28320342     0
     1      37         28320320         28320342     0
     1       6         28320355         28320377     0
     1      17         28320355         28320377     0
     1      28         28320355         28320377     0
     1      39         28320355         28320377     0
     1       8         28320391         28320413     0
     1      19         28320391         28320413     0
     1      30         28320391         28320413     0
     1      41         28320391         28320413     0
     1      10         28320427         28320449     0
     1      21         28320427         28320449     0
     1      32         28320427         28320449     0
     1      43         28320427         28320449     0
     1       1         28320462         28320484     0
     1      12         28320462         28320484     0
     1      23         28320462         28320484     0
     1      34         28320462         28320484     0
     1       3         28320498         28320520     0
     1      14         28320498         28320520     0
     1      25         28320498         28320520     0
     1      36         28320498         28320520     0
     1       5         28320533         28320556     0
     1      16         28320533         28320556     0
     1      27         28320533         28320556     0
     1      38         28320533         28320556     0
     1       7         28320569         28320591     0
     1      18         28320569         28320591     0
     1      29         28320569         28320591     0
     1      40         28320569         28320591     0
     1       9         28320605         28320627     0
     1      20         28320605         28320627     0
     1      31         28320605         28320627     0
     1      42         28320605         28320627     0
     2       0         28320648         28320671     0
     2      11         28320648         28320671     0
     2      22         28320648         28320671     0
     2      33         28320648         28320671     0
     2       2         28320684         28320706     0
     2      13         28320684         28320706     0
     2      24         28320684         28320706     0
     2      35         28320684         28320706     0
     2       4         28320720         28320742     0
     2      15         28320720         28320742     0
