UUID        = fd40e476-9054-4a26-a169-6680c4b476f2
ScanDate    = 20240513_184622
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 48
NumVolumes  = 356
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         27036671         27036694     0
     0      12         27036671         27036694     0
     0      24         27036671         27036694     0
     0      36         27036671         27036694     0
     0       5         27036704         27036727     0
     0      17         27036704         27036727     0
     0      29         27036704         27036727     0
     0      41         27036704         27036727     0
     0      10         27036736         27036760     0
     0      22         27036736         27036760     0
     0      34         27036736         27036760     0
     0      46         27036736         27036760     0
     0       3         27036769         27036792     0
     0      15         27036769         27036792     0
     0      27         27036769         27036792     0
     0      39         27036769         27036792     0
     0       8         27036802         27036825     0
     0      20         27036802         27036825     0
     0      32         27036802         27036825     0
     0      44         27036802         27036825     0
     0       1         27036834         27036858     0
     0      13         27036834         27036858     0
     0      25         27036834         27036858     0
     0      37         27036834         27036858     0
     0       6         27036867         27036890     0
     0      18         27036867         27036890     0
     0      30         27036867         27036890     0
     0      42         27036867         27036890     0
     0      11         27036900         27036923     0
     0      23         27036900         27036923     0
     0      35         27036900         27036923     0
     0      47         27036900         27036923     0
     0       4         27036932         27036956     0
     0      16         27036932         27036956     0
     0      28         27036932         27036956     0
     0      40         27036932         27036956     0
     0       9         27036965         27036988     0
     0      21         27036965         27036988     0
     0      33         27036965         27036988     0
     0      45         27036965         27036988     0
     0       2         27036998         27037021     0
     0      14         27036998         27037021     0
     0      26         27036998         27037021     0
     0      38         27036998         27037021     0
     0       7         27037030         27037054     0
     0      19         27037030         27037054     0
     0      31         27037030         27037054     0
     0      43         27037030         27037054     0
     1       0         27037071         27037094     0
     1      12         27037071         27037094     0
     1      24         27037071         27037094     0
     1      36         27037071         27037094     0
     1       5         27037104         27037127     0
     1      17         27037104         27037127     0
     1      29         27037104         27037127     0
     1      41         27037104         27037127     0
     1      10         27037136         27037160     0
     1      22         27037136         27037160     0
     1      34         27037136         27037160     0
     1      46         27037136         27037160     0
     1       3         27037169         27037192     0
     1      15         27037169         27037192     0
     1      27         27037169         27037192     0
     1      39         27037169         27037192     0
     1       8         27037202         27037225     0
     1      20         27037202         27037225     0
     1      32         27037202         27037225     0
     1      44         27037202         27037225     0
     1       1         27037234         27037258     0
     1      13         27037234         27037258     0
     1      25         27037234         27037258     0
     1      37         27037234         27037258     0
     1       6         27037267         27037290     0
     1      18         27037267         27037290     0
     1      30         27037267         27037290     0
     1      42         27037267         27037290     0
     1      11         27037300         27037323     0
     1      23         27037300         27037323     0
     1      35         27037300         27037323     0
     1      47         27037300         27037323     0
     1       4         27037332         27037356     0
     1      16         27037332         27037356     0
     1      28         27037332         27037356     0
     1      40         27037332         27037356     0
     1       9         27037365         27037388     0
     1      21         27037365         27037388     0
     1      33         27037365         27037388     0
     1      45         27037365         27037388     0
     1       2         27037398         27037421     0
     1      14         27037398         27037421     0
     1      26         27037398         27037421     0
     1      38         27037398         27037421     0
     1       7         27037430         27037454     0
     1      19         27037430         27037454     0
