UUID        = 45f2d990-4efa-4fb7-9e70-ec9eab216ff1
ScanDate    = 20240513_151127
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 48
NumVolumes  = 356
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         21878695         21878719     0
     0      12         21878695         21878719     0
     0      24         21878695         21878719     0
     0      36         21878695         21878719     0
     0       5         21878728         21878752     0
     0      17         21878728         21878752     0
     0      29         21878728         21878752     0
     0      41         21878728         21878752     0
     0      10         21878761         21878784     0
     0      22         21878761         21878784     0
     0      34         21878761         21878784     0
     0      46         21878761         21878784     0
     0       3         21878793         21878817     0
     0      15         21878793         21878817     0
     0      27         21878793         21878817     0
     0      39         21878793         21878817     0
     0       8         21878826         21878850     0
     0      20         21878826         21878850     0
     0      32         21878826         21878850     0
     0      44         21878826         21878850     0
     0       1         21878859         21878882     0
     0      13         21878859         21878882     0
     0      25         21878859         21878882     0
     0      37         21878859         21878882     0
     0       6         21878891         21878915     0
     0      18         21878891         21878915     0
     0      30         21878891         21878915     0
     0      42         21878891         21878915     0
     0      11         21878924         21878948     0
     0      23         21878924         21878948     0
     0      35         21878924         21878948     0
     0      47         21878924         21878948     0
     0       4         21878957         21878980     0
     0      16         21878957         21878980     0
     0      28         21878957         21878980     0
     0      40         21878957         21878980     0
     0       9         21878989         21879013     0
     0      21         21878989         21879013     0
     0      33         21878989         21879013     0
     0      45         21878989         21879013     0
     0       2         21879022         21879046     0
     0      14         21879022         21879046     0
     0      26         21879022         21879046     0
     0      38         21879022         21879046     0
     0       7         21879055         21879078     0
     0      19         21879055         21879078     0
     0      31         21879055         21879078     0
     0      43         21879055         21879078     0
     1       0         21879095         21879119     0
     1      12         21879095         21879119     0
     1      24         21879095         21879119     0
     1      36         21879095         21879119     0
     1       5         21879128         21879152     0
     1      17         21879128         21879152     0
     1      29         21879128         21879152     0
     1      41         21879128         21879152     0
     1      10         21879161         21879184     0
     1      22         21879161         21879184     0
     1      34         21879161         21879184     0
     1      46         21879161         21879184     0
     1       3         21879193         21879217     0
     1      15         21879193         21879217     0
     1      27         21879193         21879217     0
     1      39         21879193         21879217     0
     1       8         21879226         21879250     0
     1      20         21879226         21879250     0
     1      32         21879226         21879250     0
     1      44         21879226         21879250     0
     1       1         21879259         21879282     0
     1      13         21879259         21879282     0
     1      25         21879259         21879282     0
     1      37         21879259         21879282     0
     1       6         21879291         21879315     0
     1      18         21879291         21879315     0
     1      30         21879291         21879315     0
     1      42         21879291         21879315     0
     1      11         21879324         21879348     0
     1      23         21879324         21879348     0
     1      35         21879324         21879348     0
     1      47         21879324         21879348     0
     1       4         21879357         21879380     0
     1      16         21879357         21879380     0
     1      28         21879357         21879380     0
     1      40         21879357         21879380     0
     1       9         21879389         21879413     0
     1      21         21879389         21879413     0
     1      33         21879389         21879413     0
     1      45         21879389         21879413     0
     1       2         21879422         21879446     0
     1      14         21879422         21879446     0
     1      26         21879422         21879446     0
     1      38         21879422         21879446     0
     1       7         21879455         21879478     0
     1      19         21879455         21879478     0
     1      31         21879455         21879478     0
     1      43         21879455         21879478     0
     2       0         21879495         21879519     0
     2      12         21879495         21879519     0
     2      24         21879495         21879519     0
     2      36         21879495         21879519     0
     2       5         21879528         21879552     0
     2      17         21879528         21879552     0
     2      29         21879528         21879552     0
     2      41         21879528         21879552     0
     2      10         21879561         21879584     0
     2      22         21879561         21879584     0
     2      34         21879561         21879584     0
     2      46         21879561         21879584     0
     2       3         21879593         21879617     0
     2      15         21879593         21879617     0
     2      27         21879593         21879617     0
     2      39         21879593         21879617     0
     2       8         21879626         21879650     0
     2      20         21879626         21879650     0
     2      32         21879626         21879650     0
     2      44         21879626         21879650     0
     2       1         21879659         21879682     0
     2      13         21879659         21879682     0
     2      25         21879659         21879682     0
     2      37         21879659         21879682     0
     2       6         21879691         21879715     0
     2      18         21879691         21879715     0
     2      30         21879691         21879715     0
     2      42         21879691         21879715     0
     2      11         21879724         21879748     0
     2      23         21879724         21879748     0
     2      35         21879724         21879748     0
     2      47         21879724         21879748     0
     2       4         21879757         21879780     0
     2      16         21879757         21879780     0
     2      28         21879757         21879780     0
     2      40         21879757         21879780     0
     2       9         21879789         21879813     0
     2      21         21879789         21879813     0
     2      33         21879789         21879813     0
     2      45         21879789         21879813     0
     2       2         21879822         21879846     0
     2      14         21879822         21879846     0
     2      26         21879822         21879846     0
     2      38         21879822         21879846     0
     2       7         21879855         21879878     0
     2      19         21879855         21879878     0
     2      31         21879855         21879878     0
     2      43         21879855         21879878     0
     3       0         21879895         21879919     0
     3      12         21879895         21879919     0
     3      24         21879895         21879919     0
     3      36         21879895         21879919     0
     3       5         21879928         21879952     0
     3      17         21879928         21879952     0
     3      29         21879928         21879952     0
     3      41         21879928         21879952     0
     3      10         21879961         21879984     0
     3      22         21879961         21879984     0
     3      34         21879961         21879984     0
     3      46         21879961         21879984     0
     3       3         21879993         21880017     0
     3      15         21879993         21880017     0
     3      27         21879993         21880017     0
     3      39         21879993         21880017     0
     3       8         21880026         21880050     0
     3      20         21880026         21880050     0
     3      32         21880026         21880050     0
     3      44         21880026         21880050     0
     3       1         21880059         21880082     0
     3      13         21880059         21880082     0
     3      25         21880059         21880082     0
     3      37         21880059         21880082     0
     3       6         21880091         21880115     0
     3      18         21880091         21880115     0
     3      30         21880091         21880115     0
     3      42         21880091         21880115     0
     3      11         21880124         21880148     0
     3      23         21880124         21880148     0
     3      35         21880124         21880148     0
     3      47         21880124         21880148     0
     3       4         21880157         21880180     0
     3      16         21880157         21880180     0
     3      28         21880157         21880180     0
     3      40         21880157         21880180     0
     3       9         21880189         21880213     0
     3      21         21880189         21880213     0
     3      33         21880189         21880213     0
     3      45         21880189         21880213     0
     3       2         21880222         21880246     0
     3      14         21880222         21880246     0
     3      26         21880222         21880246     0
     3      38         21880222         21880246     0
     3       7         21880255         21880278     0
     3      19         21880255         21880278     0
     3      31         21880255         21880278     0
     3      43         21880255         21880278     0
     4       0         21880295         21880319     0
     4      12         21880295         21880319     0
     4      24         21880295         21880319     0
     4      36         21880295         21880319     0
     4       5         21880328         21880352     0
     4      17         21880328         21880352     0
     4      29         21880328         21880352     0
     4      41         21880328         21880352     0
     4      10         21880361         21880384     0
     4      22         21880361         21880384     0
     4      34         21880361         21880384     0
     4      46         21880361         21880384     0
     4       3         21880393         21880417     0
     4      15         21880393         21880417     0
     4      27         21880393         21880417     0
     4      39         21880393         21880417     0
     4       8         21880426         21880450     0
     4      20         21880426         21880450     0
     4      32         21880426         21880450     0
     4      44         21880426         21880450     0
     4       1         21880459         21880482     0
     4      13         21880459         21880482     0
     4      25         21880459         21880482     0
     4      37         21880459         21880482     0
     4       6         21880491         21880515     0
     4      18         21880491         21880515     0
     4      30         21880491         21880515     0
     4      42         21880491         21880515     0
     4      11         21880524         21880548     0
     4      23         21880524         21880548     0
     4      35         21880524         21880548     0
     4      47         21880524         21880548     0
     4       4         21880557         21880580     0
     4      16         21880557         21880580     0
     4      28         21880557         21880580     0
     4      40         21880557         21880580     0
     4       9         21880589         21880613     0
     4      21         21880589         21880613     0
     4      33         21880589         21880613     0
     4      45         21880589         21880613     0
     4       2         21880622         21880646     0
     4      14         21880622         21880646     0
     4      26         21880622         21880646     0
     4      38         21880622         21880646     0
     4       7         21880655         21880678     0
     4      19         21880655         21880678     0
     4      31         21880655         21880678     0
     4      43         21880655         21880678     0
     5       0         21880695         21880719     0
     5      12         21880695         21880719     0
     5      24         21880695         21880719     0
     5      36         21880695         21880719     0
     5       5         21880728         21880752     0
     5      17         21880728         21880752     0
     5      29         21880728         21880752     0
     5      41         21880728         21880752     0
     5      10         21880761         21880784     0
     5      22         21880761         21880784     0
     5      34         21880761         21880784     0
     5      46         21880761         21880784     0
     5       3         21880793         21880817     0
     5      15         21880793         21880817     0
     5      27         21880793         21880817     0
     5      39         21880793         21880817     0
     5       8         21880826         21880850     0
     5      20         21880826         21880850     0
     5      32         21880826         21880850     0
     5      44         21880826         21880850     0
     5       1         21880859         21880882     0
     5      13         21880859         21880882     0
     5      25         21880859         21880882     0
     5      37         21880859         21880882     0
     5       6         21880891         21880915     0
     5      18         21880891         21880915     0
     5      30         21880891         21880915     0
     5      42         21880891         21880915     0
     5      11         21880924         21880948     0
     5      23         21880924         21880948     0
     5      35         21880924         21880948     0
     5      47         21880924         21880948     0
     5       4         21880957         21880980     0
     5      16         21880957         21880980     0
     5      28         21880957         21880980     0
     5      40         21880957         21880980     0
     5       9         21880989         21881013     0
