UUID        = a3f45620-6077-4761-b4bc-6a915f86d585
ScanDate    = 20240410_114325
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 44
NumVolumes  = 264
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         16885963         16885985     0
     0      11         16885963         16885985     0
     0      22         16885963         16885985     0
     0      33         16885963         16885985     0
     0       2         16885998         16886020     0
     0      13         16885998         16886020     0
     0      24         16885998         16886020     0
     0      35         16885998         16886020     0
     0       4         16886034         16886056     0
     0      15         16886034         16886056     0
     0      26         16886034         16886056     0
     0      37         16886034         16886056     0
     0       6         16886070         16886092     0
     0      17         16886070         16886092     0
     0      28         16886070         16886092     0
     0      39         16886070         16886092     0
     0       8         16886105         16886127     0
     0      19         16886105         16886127     0
     0      30         16886105         16886127     0
     0      41         16886105         16886127     0
     0      10         16886141         16886163     0
     0      21         16886141         16886163     0
     0      32         16886141         16886163     0
     0      43         16886141         16886163     0
     0       1         16886176         16886199     0
     0      12         16886176         16886199     0
     0      23         16886176         16886199     0
     0      34         16886176         16886199     0
     0       3         16886212         16886234     0
     0      14         16886212         16886234     0
     0      25         16886212         16886234     0
     0      36         16886212         16886234     0
     0       5         16886248         16886270     0
     0      16         16886248         16886270     0
     0      27         16886248         16886270     0
     0      38         16886248         16886270     0
     0       7         16886283         16886305     0
     0      18         16886283         16886305     0
     0      29         16886283         16886305     0
     0      40         16886283         16886305     0
     0       9         16886319         16886341     0
     0      20         16886319         16886341     0
     0      31         16886319         16886341     0
     0      42         16886319         16886341     0
     1       0         16886363         16886385     0
     1      11         16886363         16886385     0
     1      22         16886363         16886385     0
     1      33         16886363         16886385     0
     1       2         16886398         16886420     0
     1      13         16886398         16886420     0
     1      24         16886398         16886420     0
     1      35         16886398         16886420     0
     1       4         16886434         16886456     0
     1      15         16886434         16886456     0
     1      26         16886434         16886456     0
     1      37         16886434         16886456     0
     1       6         16886470         16886492     0
     1      17         16886470         16886492     0
     1      28         16886470         16886492     0
     1      39         16886470         16886492     0
     1       8         16886505         16886527     0
     1      19         16886505         16886527     0
     1      30         16886505         16886527     0
     1      41         16886505         16886527     0
     1      10         16886541         16886563     0
     1      21         16886541         16886563     0
     1      32         16886541         16886563     0
     1      43         16886541         16886563     0
     1       1         16886576         16886599     0
     1      12         16886576         16886599     0
     1      23         16886576         16886599     0
     1      34         16886576         16886599     0
     1       3         16886612         16886634     0
     1      14         16886612         16886634     0
     1      25         16886612         16886634     0
     1      36         16886612         16886634     0
     1       5         16886648         16886670     0
     1      16         16886648         16886670     0
     1      27         16886648         16886670     0
     1      38         16886648         16886670     0
     1       7         16886683         16886705     0
     1      18         16886683         16886705     0
     1      29         16886683         16886705     0
     1      40         16886683         16886705     0
     1       9         16886719         16886741     0
     1      20         16886719         16886741     0
     1      31         16886719         16886741     0
     1      42         16886719         16886741     0
     2       0         16886763         16886785     0
     2      11         16886763         16886785     0
     2      22         16886763         16886785     0
     2      33         16886763         16886785     0
     2       2         16886798         16886820     0
     2      13         16886798         16886820     0
     2      24         16886798         16886820     0
     2      35         16886798         16886820     0
     2       4         16886834         16886856     0
     2      15         16886834         16886856     0
     2      26         16886834         16886856     0
     2      37         16886834         16886856     0
     2       6         16886870         16886892     0
     2      17         16886870         16886892     0
     2      28         16886870         16886892     0
     2      39         16886870         16886892     0
     2       8         16886905         16886927     0
     2      19         16886905         16886927     0
     2      30         16886905         16886927     0
     2      41         16886905         16886927     0
     2      10         16886941         16886963     0
     2      21         16886941         16886963     0
     2      32         16886941         16886963     0
     2      43         16886941         16886963     0
     2       1         16886976         16886999     0
     2      12         16886976         16886999     0
     2      23         16886976         16886999     0
     2      34         16886976         16886999     0
     2       3         16887012         16887034     0
     2      14         16887012         16887034     0
     2      25         16887012         16887034     0
     2      36         16887012         16887034     0
     2       5         16887048         16887070     0
     2      16         16887048         16887070     0
     2      27         16887048         16887070     0
     2      38         16887048         16887070     0
     2       7         16887083         16887105     0
     2      18         16887083         16887105     0
     2      29         16887083         16887105     0
     2      40         16887083         16887105     0
     2       9         16887119         16887141     0
     2      20         16887119         16887141     0
     2      31         16887119         16887141     0
     2      42         16887119         16887141     0
     3       0         16887163         16887185     0
     3      11         16887163         16887185     0
     3      22         16887163         16887185     0
     3      33         16887163         16887185     0
     3       2         16887198         16887220     0
     3      13         16887198         16887220     0
     3      24         16887198         16887220     0
     3      35         16887198         16887220     0
     3       4         16887234         16887256     0
     3      15         16887234         16887256     0
     3      26         16887234         16887256     0
     3      37         16887234         16887256     0
     3       6         16887270         16887292     0
     3      17         16887270         16887292     0
     3      28         16887270         16887292     0
     3      39         16887270         16887292     0
     3       8         16887305         16887327     0
     3      19         16887305         16887327     0
     3      30         16887305         16887327     0
     3      41         16887305         16887327     0
     3      10         16887341         16887363     0
     3      21         16887341         16887363     0
     3      32         16887341         16887363     0
     3      43         16887341         16887363     0
     3       1         16887376         16887399     0
     3      12         16887376         16887399     0
     3      23         16887376         16887399     0
     3      34         16887376         16887399     0
     3       3         16887412         16887434     0
     3      14         16887412         16887434     0
     3      25         16887412         16887434     0
     3      36         16887412         16887434     0
     3       5         16887448         16887470     0
     3      16         16887448         16887470     0
     3      27         16887448         16887470     0
     3      38         16887448         16887470     0
     3       7         16887483         16887505     0
     3      18         16887483         16887505     0
     3      29         16887483         16887505     0
     3      40         16887483         16887505     0
     3       9         16887519         16887541     0
     3      20         16887519         16887541     0
     3      31         16887519         16887541     0
     3      42         16887519         16887541     0
     4       0         16887563         16887585     0
     4      11         16887563         16887585     0
     4      22         16887563         16887585     0
     4      33         16887563         16887585     0
     4       2         16887598         16887620     0
     4      13         16887598         16887620     0
     4      24         16887598         16887620     0
     4      35         16887598         16887620     0
     4       4         16887634         16887656     0
     4      15         16887634         16887656     0
     4      26         16887634         16887656     0
