UUID        = b6c71010-8cc5-4f1d-bc0f-c0b88d45cab9
ScanDate    = 20240808_114237
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 44
NumVolumes  = 264
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         16866689         16866711     0
     0      11         16866689         16866711     0
     0      22         16866689         16866711     0
     0      33         16866689         16866711     0
     0       2         16866724         16866747     0
     0      13         16866724         16866747     0
     0      24         16866724         16866747     0
     0      35         16866724         16866747     0
     0       4         16866760         16866782     0
     0      15         16866760         16866782     0
     0      26         16866760         16866782     0
     0      37         16866760         16866782     0
     0       6         16866796         16866818     0
     0      17         16866796         16866818     0
     0      28         16866796         16866818     0
     0      39         16866796         16866818     0
     0       8         16866831         16866853     0
     0      19         16866831         16866853     0
     0      30         16866831         16866853     0
     0      41         16866831         16866853     0
     0      10         16866867         16866889     0
     0      21         16866867         16866889     0
     0      32         16866867         16866889     0
     0      43         16866867         16866889     0
     0       1         16866903         16866925     0
     0      12         16866903         16866925     0
     0      23         16866903         16866925     0
     0      34         16866903         16866925     0
     0       3         16866938         16866960     0
     0      14         16866938         16866960     0
     0      25         16866938         16866960     0
     0      36         16866938         16866960     0
     0       5         16866974         16866996     0
     0      16         16866974         16866996     0
     0      27         16866974         16866996     0
     0      38         16866974         16866996     0
     0       7         16867009         16867032     0
     0      18         16867009         16867032     0
     0      29         16867009         16867032     0
     0      40         16867009         16867032     0
     0       9         16867045         16867067     0
     0      20         16867045         16867067     0
     0      31         16867045         16867067     0
     0      42         16867045         16867067     0
     1       0         16867089         16867111     0
     1      11         16867089         16867111     0
     1      22         16867089         16867111     0
     1      33         16867089         16867111     0
     1       2         16867124         16867147     0
     1      13         16867124         16867147     0
     1      24         16867124         16867147     0
     1      35         16867124         16867147     0
     1       4         16867160         16867182     0
     1      15         16867160         16867182     0
     1      26         16867160         16867182     0
     1      37         16867160         16867182     0
     1       6         16867196         16867218     0
     1      17         16867196         16867218     0
     1      28         16867196         16867218     0
     1      39         16867196         16867218     0
     1       8         16867231         16867253     0
     1      19         16867231         16867253     0
     1      30         16867231         16867253     0
     1      41         16867231         16867253     0
     1      10         16867267         16867289     0
     1      21         16867267         16867289     0
     1      32         16867267         16867289     0
     1      43         16867267         16867289     0
     1       1         16867303         16867325     0
     1      12         16867303         16867325     0
     1      23         16867303         16867325     0
     1      34         16867303         16867325     0
     1       3         16867338         16867360     0
     1      14         16867338         16867360     0
     1      25         16867338         16867360     0
     1      36         16867338         16867360     0
     1       5         16867374         16867396     0
     1      16         16867374         16867396     0
     1      27         16867374         16867396     0
     1      38         16867374         16867396     0
     1       7         16867409         16867432     0
     1      18         16867409         16867432     0
     1      29         16867409         16867432     0
     1      40         16867409         16867432     0
     1       9         16867445         16867467     0
     1      20         16867445         16867467     0
     1      31         16867445         16867467     0
     1      42         16867445         16867467     0
     2       0         16867489         16867511     0
     2      11         16867489         16867511     0
     2      22         16867489         16867511     0
     2      33         16867489         16867511     0
     2       2         16867524         16867547     0
     2      13         16867524         16867547     0
     2      24         16867524         16867547     0
     2      35         16867524         16867547     0
     2       4         16867560         16867582     0
     2      15         16867560         16867582     0
     2      26         16867560         16867582     0
     2      37         16867560         16867582     0
     2       6         16867596         16867618     0
     2      17         16867596         16867618     0
     2      28         16867596         16867618     0
     2      39         16867596         16867618     0
     2       8         16867631         16867653     0
     2      19         16867631         16867653     0
     2      30         16867631         16867653     0
     2      41         16867631         16867653     0
     2      10         16867667         16867689     0
     2      21         16867667         16867689     0
     2      32         16867667         16867689     0
     2      43         16867667         16867689     0
     2       1         16867703         16867725     0
     2      12         16867703         16867725     0
     2      23         16867703         16867725     0
     2      34         16867703         16867725     0
     2       3         16867738         16867760     0
     2      14         16867738         16867760     0
     2      25         16867738         16867760     0
     2      36         16867738         16867760     0
     2       5         16867774         16867796     0
     2      16         16867774         16867796     0
     2      27         16867774         16867796     0
     2      38         16867774         16867796     0
     2       7         16867809         16867832     0
     2      18         16867809         16867832     0
     2      29         16867809         16867832     0
     2      40         16867809         16867832     0
     2       9         16867845         16867867     0
     2      20         16867845         16867867     0
     2      31         16867845         16867867     0
     2      42         16867845         16867867     0
     3       0         16867889         16867911     0
     3      11         16867889         16867911     0
     3      22         16867889         16867911     0
