UUID        = 16b0ae0d-ba37-4a72-81c6-84e9702b20d1
ScanDate    = 20240808_114756
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 44
NumVolumes  = 264
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         16994262         16994284     0
     0      11         16994262         16994284     0
     0      22         16994262         16994284     0
     0      33         16994262         16994284     0
     0       2         16994297         16994319     0
     0      13         16994297         16994319     0
     0      24         16994297         16994319     0
     0      35         16994297         16994319     0
     0       4         16994333         16994355     0
     0      15         16994333         16994355     0
     0      26         16994333         16994355     0
     0      37         16994333         16994355     0
     0       6         16994369         16994391     0
     0      17         16994369         16994391     0
     0      28         16994369         16994391     0
     0      39         16994369         16994391     0
     0       8         16994404         16994426     0
     0      19         16994404         16994426     0
     0      30         16994404         16994426     0
     0      41         16994404         16994426     0
     0      10         16994440         16994462     0
     0      21         16994440         16994462     0
     0      32         16994440         16994462     0
     0      43         16994440         16994462     0
     0       1         16994476         16994498     0
     0      12         16994476         16994498     0
     0      23         16994476         16994498     0
     0      34         16994476         16994498     0
     0       3         16994511         16994533     0
     0      14         16994511         16994533     0
     0      25         16994511         16994533     0
     0      36         16994511         16994533     0
     0       5         16994547         16994569     0
     0      16         16994547         16994569     0
     0      27         16994547         16994569     0
     0      38         16994547         16994569     0
     0       7         16994582         16994605     0
     0      18         16994582         16994605     0
     0      29         16994582         16994605     0
     0      40         16994582         16994605     0
     0       9         16994618         16994640     0
     0      20         16994618         16994640     0
     0      31         16994618         16994640     0
     0      42         16994618         16994640     0
     1       0         16994662         16994684     0
     1      11         16994662         16994684     0
     1      22         16994662         16994684     0
     1      33         16994662         16994684     0
     1       2         16994697         16994719     0
     1      13         16994697         16994719     0
     1      24         16994697         16994719     0
     1      35         16994697         16994719     0
     1       4         16994733         16994755     0
     1      15         16994733         16994755     0
     1      26         16994733         16994755     0
     1      37         16994733         16994755     0
     1       6         16994769         16994791     0
     1      17         16994769         16994791     0
     1      28         16994769         16994791     0
     1      39         16994769         16994791     0
     1       8         16994804         16994826     0
     1      19         16994804         16994826     0
     1      30         16994804         16994826     0
     1      41         16994804         16994826     0
     1      10         16994840         16994862     0
     1      21         16994840         16994862     0
     1      32         16994840         16994862     0
     1      43         16994840         16994862     0
     1       1         16994876         16994898     0
     1      12         16994876         16994898     0
     1      23         16994876         16994898     0
     1      34         16994876         16994898     0
     1       3         16994911         16994933     0
     1      14         16994911         16994933     0
     1      25         16994911         16994933     0
     1      36         16994911         16994933     0
     1       5         16994947         16994969     0
     1      16         16994947         16994969     0
     1      27         16994947         16994969     0
     1      38         16994947         16994969     0
     1       7         16994982         16995005     0
     1      18         16994982         16995005     0
     1      29         16994982         16995005     0
     1      40         16994982         16995005     0
     1       9         16995018         16995040     0
     1      20         16995018         16995040     0
     1      31         16995018         16995040     0
     1      42         16995018         16995040     0
     2       0         16995062         16995084     0
     2      11         16995062         16995084     0
     2      22         16995062         16995084     0
     2      33         16995062         16995084     0
     2       2         16995097         16995119     0
     2      13         16995097         16995119     0
     2      24         16995097         16995119     0
     2      35         16995097         16995119     0
     2       4         16995133         16995155     0
     2      15         16995133         16995155     0
     2      26         16995133         16995155     0
     2      37         16995133         16995155     0
     2       6         16995169         16995191     0
     2      17         16995169         16995191     0
     2      28         16995169         16995191     0
     2      39         16995169         16995191     0
     2       8         16995204         16995226     0
     2      19         16995204         16995226     0
     2      30         16995204         16995226     0
     2      41         16995204         16995226     0
     2      10         16995240         16995262     0
     2      21         16995240         16995262     0
     2      32         16995240         16995262     0
     2      43         16995240         16995262     0
