UUID        = 4b2ff227-e9a8-4a5b-9184-13581387aee6
ScanDate    = 20240808_113226
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 48
NumVolumes  = 356
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         16622461         16622484     0
     0      12         16622461         16622484     0
     0      24         16622461         16622484     0
     0      36         16622461         16622484     0
     0       5         16622493         16622517     0
     0      17         16622493         16622517     0
     0      29         16622493         16622517     0
     0      41         16622493         16622517     0
     0      10         16622526         16622549     0
     0      22         16622526         16622549     0
     0      34         16622526         16622549     0
     0      46         16622526         16622549     0
     0       3         16622558         16622582     0
     0      15         16622558         16622582     0
     0      27         16622558         16622582     0
     0      39         16622558         16622582     0
     0       8         16622591         16622615     0
     0      20         16622591         16622615     0
     0      32         16622591         16622615     0
     0      44         16622591         16622615     0
     0       1         16622624         16622647     0
     0      13         16622624         16622647     0
     0      25         16622624         16622647     0
     0      37         16622624         16622647     0
     0       6         16622656         16622680     0
     0      18         16622656         16622680     0
     0      30         16622656         16622680     0
     0      42         16622656         16622680     0
     0      11         16622689         16622713     0
     0      23         16622689         16622713     0
     0      35         16622689         16622713     0
     0      47         16622689         16622713     0
     0       4         16622722         16622745     0
     0      16         16622722         16622745     0
     0      28         16622722         16622745     0
     0      40         16622722         16622745     0
     0       9         16622754         16622778     0
     0      21         16622754         16622778     0
     0      33         16622754         16622778     0
     0      45         16622754         16622778     0
     0       2         16622787         16622811     0
     0      14         16622787         16622811     0
     0      26         16622787         16622811     0
     0      38         16622787         16622811     0
     0       7         16622820         16622843     0
     0      19         16622820         16622843     0
     0      31         16622820         16622843     0
     0      43         16622820         16622843     0
     1       0         16622861         16622884     0
     1      12         16622861         16622884     0
     1      24         16622861         16622884     0
     1      36         16622861         16622884     0
     1       5         16622893         16622917     0
     1      17         16622893         16622917     0
     1      29         16622893         16622917     0
     1      41         16622893         16622917     0
     1      10         16622926         16622949     0
