UUID        = 21d63e4e-6444-4909-9f8e-b54604bc5ee9
ScanDate    = 20240802_130847
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 44
NumVolumes  = 264
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         18934751         18934773     0
     0      11         18934751         18934773     0
     0      22         18934751         18934773     0
     0      33         18934751         18934773     0
     0       2         18934786         18934808     0
     0      13         18934786         18934808     0
     0      24         18934786         18934808     0
     0      35         18934786         18934808     0
     0       4         18934822         18934844     0
     0      15         18934822         18934844     0
     0      26         18934822         18934844     0
     0      37         18934822         18934844     0
     0       6         18934858         18934880     0
     0      17         18934858         18934880     0
     0      28         18934858         18934880     0
     0      39         18934858         18934880     0
     0       8         18934893         18934915     0
     0      19         18934893         18934915     0
     0      30         18934893         18934915     0
     0      41         18934893         18934915     0
     0      10         18934929         18934951     0
     0      21         18934929         18934951     0
     0      32         18934929         18934951     0
     0      43         18934929         18934951     0
     0       1         18934964         18934987     0
     0      12         18934964         18934987     0
     0      23         18934964         18934987     0
     0      34         18934964         18934987     0
     0       3         18935000         18935022     0
     0      14         18935000         18935022     0
     0      25         18935000         18935022     0
     0      36         18935000         18935022     0
     0       5         18935036         18935058     0
     0      16         18935036         18935058     0
     0      27         18935036         18935058     0
     0      38         18935036         18935058     0
     0       7         18935071         18935093     0
     0      18         18935071         18935093     0
     0      29         18935071         18935093     0
     0      40         18935071         18935093     0
     0       9         18935107         18935129     0
     0      20         18935107         18935129     0
     0      31         18935107         18935129     0
     0      42         18935107         18935129     0
     1       0         18935151         18935173     0
     1      11         18935151         18935173     0
     1      22         18935151         18935173     0
     1      33         18935151         18935173     0
     1       2         18935186         18935208     0
     1      13         18935186         18935208     0
     1      24         18935186         18935208     0
     1      35         18935186         18935208     0
     1       4         18935222         18935244     0
     1      15         18935222         18935244     0
     1      26         18935222         18935244     0
     1      37         18935222         18935244     0
     1       6         18935258         18935280     0
     1      17         18935258         18935280     0
     1      28         18935258         18935280     0
     1      39         18935258         18935280     0
     1       8         18935293         18935315     0
     1      19         18935293         18935315     0
     1      30         18935293         18935315     0
     1      41         18935293         18935315     0
     1      10         18935329         18935351     0
     1      21         18935329         18935351     0
     1      32         18935329         18935351     0
