UUID        = 82e8e72b-c621-4e15-854e-db096a1ce572
ScanDate    = 20240405_110738
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 48
NumVolumes  = 356
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         16027060         16027084     0
     0      12         16027060         16027084     0
     0      24         16027060         16027084     0
     0      36         16027060         16027084     0
     0       5         16027093         16027117     0
     0      17         16027093         16027117     0
     0      29         16027093         16027117     0
     0      41         16027093         16027117     0
     0      10         16027126         16027149     0
     0      22         16027126         16027149     0
     0      34         16027126         16027149     0
     0      46         16027126         16027149     0
     0       3         16027158         16027182     0
     0      15         16027158         16027182     0
     0      27         16027158         16027182     0
     0      39         16027158         16027182     0
     0       8         16027191         16027215     0
     0      20         16027191         16027215     0
     0      32         16027191         16027215     0
     0      44         16027191         16027215     0
     0       1         16027224         16027247     0
     0      13         16027224         16027247     0
     0      25         16027224         16027247     0
     0      37         16027224         16027247     0
     0       6         16027256         16027280     0
     0      18         16027256         16027280     0
     0      30         16027256         16027280     0
     0      42         16027256         16027280     0
     0      11         16027289         16027313     0
     0      23         16027289         16027313     0
     0      35         16027289         16027313     0
     0      47         16027289         16027313     0
     0       4         16027322         16027345     0
     0      16         16027322         16027345     0
     0      28         16027322         16027345     0
     0      40         16027322         16027345     0
     0       9         16027354         16027378     0
     0      21         16027354         16027378     0
     0      33         16027354         16027378     0
     0      45         16027354         16027378     0
     0       2         16027387         16027411     0
     0      14         16027387         16027411     0
     0      26         16027387         16027411     0
     0      38         16027387         16027411     0
     0       7         16027420         16027443     0
     0      19         16027420         16027443     0
     0      31         16027420         16027443     0
     0      43         16027420         16027443     0
     1       0         16027460         16027484     0
     1      12         16027460         16027484     0
     1      24         16027460         16027484     0
     1      36         16027460         16027484     0
     1       5         16027493         16027517     0
     1      17         16027493         16027517     0
     1      29         16027493         16027517     0
     1      41         16027493         16027517     0
     1      10         16027526         16027549     0
     1      22         16027526         16027549     0
     1      34         16027526         16027549     0
     1      46         16027526         16027549     0
     1       3         16027558         16027582     0
     1      15         16027558         16027582     0
     1      27         16027558         16027582     0
     1      39         16027558         16027582     0
     1       8         16027591         16027615     0
     1      20         16027591         16027615     0
     1      32         16027591         16027615     0
     1      44         16027591         16027615     0
     1       1         16027624         16027647     0
     1      13         16027624         16027647     0
     1      25         16027624         16027647     0
     1      37         16027624         16027647     0
     1       6         16027656         16027680     0
     1      18         16027656         16027680     0
     1      30         16027656         16027680     0
     1      42         16027656         16027680     0
     1      11         16027689         16027713     0
     1      23         16027689         16027713     0
     1      35         16027689         16027713     0
     1      47         16027689         16027713     0
     1       4         16027722         16027745     0
     1      16         16027722         16027745     0
     1      28         16027722         16027745     0
     1      40         16027722         16027745     0
     1       9         16027754         16027778     0
     1      21         16027754         16027778     0
     1      33         16027754         16027778     0
     1      45         16027754         16027778     0
     1       2         16027787         16027811     0
     1      14         16027787         16027811     0
     1      26         16027787         16027811     0
     1      38         16027787         16027811     0
     1       7         16027820         16027843     0
     1      19         16027820         16027843     0
     1      31         16027820         16027843     0
     1      43         16027820         16027843     0
     2       0         16027860         16027884     0
     2      12         16027860         16027884     0
     2      24         16027860         16027884     0
     2      36         16027860         16027884     0
     2       5         16027893         16027917     0
     2      17         16027893         16027917     0
     2      29         16027893         16027917     0
     2      41         16027893         16027917     0
     2      10         16027926         16027949     0
     2      22         16027926         16027949     0
     2      34         16027926         16027949     0
     2      46         16027926         16027949     0
     2       3         16027958         16027982     0
     2      15         16027958         16027982     0
     2      27         16027958         16027982     0
     2      39         16027958         16027982     0
     2       8         16027991         16028015     0
     2      20         16027991         16028015     0
     2      32         16027991         16028015     0
     2      44         16027991         16028015     0
     2       1         16028024         16028047     0
     2      13         16028024         16028047     0
     2      25         16028024         16028047     0
     2      37         16028024         16028047     0
     2       6         16028056         16028080     0
     2      18         16028056         16028080     0
     2      30         16028056         16028080     0
     2      42         16028056         16028080     0
     2      11         16028089         16028113     0
     2      23         16028089         16028113     0
     2      35         16028089         16028113     0
     2      47         16028089         16028113     0
     2       4         16028122         16028145     0
     2      16         16028122         16028145     0
     2      28         16028122         16028145     0
     2      40         16028122         16028145     0
     2       9         16028154         16028178     0
     2      21         16028154         16028178     0
     2      33         16028154         16028178     0
     2      45         16028154         16028178     0
     2       2         16028187         16028211     0
     2      14         16028187         16028211     0
     2      26         16028187         16028211     0
     2      38         16028187         16028211     0
     2       7         16028220         16028243     0
     2      19         16028220         16028243     0
     2      31         16028220         16028243     0
     2      43         16028220         16028243     0
     3       0         16028260         16028284     0
     3      12         16028260         16028284     0
     3      24         16028260         16028284     0
     3      36         16028260         16028284     0
     3       5         16028293         16028317     0
     3      17         16028293         16028317     0
     3      29         16028293         16028317     0
     3      41         16028293         16028317     0
     3      10         16028326         16028349     0
     3      22         16028326         16028349     0
     3      34         16028326         16028349     0
     3      46         16028326         16028349     0
     3       3         16028358         16028382     0
     3      15         16028358         16028382     0
     3      27         16028358         16028382     0
     3      39         16028358         16028382     0
     3       8         16028391         16028415     0
     3      20         16028391         16028415     0
     3      32         16028391         16028415     0
     3      44         16028391         16028415     0
     3       1         16028424         16028447     0
     3      13         16028424         16028447     0
     3      25         16028424         16028447     0
     3      37         16028424         16028447     0
     3       6         16028456         16028480     0
     3      18         16028456         16028480     0
     3      30         16028456         16028480     0
     3      42         16028456         16028480     0
     3      11         16028489         16028513     0
     3      23         16028489         16028513     0
     3      35         16028489         16028513     0
     3      47         16028489         16028513     0
     3       4         16028522         16028545     0
     3      16         16028522         16028545     0
     3      28         16028522         16028545     0
     3      40         16028522         16028545     0
     3       9         16028554         16028578     0
     3      21         16028554         16028578     0
     3      33         16028554         16028578     0
     3      45         16028554         16028578     0
     3       2         16028587         16028611     0
     3      14         16028587         16028611     0
     3      26         16028587         16028611     0
     3      38         16028587         16028611     0
     3       7         16028620         16028643     0
     3      19         16028620         16028643     0
     3      31         16028620         16028643     0
     3      43         16028620         16028643     0
     4       0         16028660         16028684     0
     4      12         16028660         16028684     0
     4      24         16028660         16028684     0
     4      36         16028660         16028684     0
     4       5         16028693         16028717     0
     4      17         16028693         16028717     0
     4      29         16028693         16028717     0
     4      41         16028693         16028717     0
     4      10         16028726         16028749     0
     4      22         16028726         16028749     0
     4      34         16028726         16028749     0
     4      46         16028726         16028749     0
     4       3         16028758         16028782     0
     4      15         16028758         16028782     0
     4      27         16028758         16028782     0
     4      39         16028758         16028782     0
     4       8         16028791         16028815     0
     4      20         16028791         16028815     0
     4      32         16028791         16028815     0
     4      44         16028791         16028815     0
     4       1         16028824         16028847     0
     4      13         16028824         16028847     0
     4      25         16028824         16028847     0
     4      37         16028824         16028847     0
     4       6         16028856         16028880     0
     4      18         16028856         16028880     0
     4      30         16028856         16028880     0
     4      42         16028856         16028880     0
     4      11         16028889         16028913     0
     4      23         16028889         16028913     0
     4      35         16028889         16028913     0
     4      47         16028889         16028913     0
     4       4         16028922         16028945     0
     4      16         16028922         16028945     0
     4      28         16028922         16028945     0
     4      40         16028922         16028945     0
     4       9         16028954         16028978     0
     4      21         16028954         16028978     0
     4      33         16028954         16028978     0
     4      45         16028954         16028978     0
     4       2         16028987         16029011     0
     4      14         16028987         16029011     0
     4      26         16028987         16029011     0
     4      38         16028987         16029011     0
     4       7         16029020         16029043     0
     4      19         16029020         16029043     0
     4      31         16029020         16029043     0
     4      43         16029020         16029043     0
     5       0         16029060         16029084     0
     5      12         16029060         16029084     0
     5      24         16029060         16029084     0
     5      36         16029060         16029084     0
     5       5         16029093         16029117     0
     5      17         16029093         16029117     0
     5      29         16029093         16029117     0
     5      41         16029093         16029117     0
     5      10         16029126         16029149     0
     5      22         16029126         16029149     0
     5      34         16029126         16029149     0
     5      46         16029126         16029149     0
     5       3         16029158         16029182     0
     5      15         16029158         16029182     0
     5      27         16029158         16029182     0
     5      39         16029158         16029182     0
     5       8         16029191         16029215     0
     5      20         16029191         16029215     0
     5      32         16029191         16029215     0
     5      44         16029191         16029215     0
     5       1         16029224         16029247     0
     5      13         16029224         16029247     0
